session_id,timestamp,loading_strategy,device_type,network_type,perceived_responsiveness,interaction_delay_ms,smooth_scrolling_score,visual_stability_score,perceived_speed_score,task_completion_time_ms,bounce_rate,session_duration_s,pages_per_session,conversion_rate,click_through_rate,user_satisfaction_score,net_promoter_score,interaction_count,repeat_visits,feature_usage_score,error_count,rage_click_count,user_wait_time_ms
session-001,2024-03-15T10:23:45.621Z,baseline,desktop,cable,3.7,215,4.1,3.8,3.5,15284,0.12,348,5.2,0.08,0.32,7.4,6,32,3,3.9,2,0,3245
session-002,2024-03-15T10:35:42.923Z,baseline,desktop,dsl,3.5,232,3.9,3.7,3.3,16523,0.14,324,4.8,0.07,0.30,7.1,5,28,2,3.7,3,0,3562
session-003,2024-03-15T10:50:21.573Z,baseline,desktop,3g,3.1,287,3.4,3.3,2.9,19875,0.18,295,4.1,0.05,0.25,6.5,4,25,1,3.4,5,1,4215
session-004,2024-03-15T11:05:47.392Z,baseline,mobile,cable,3.2,268,3.5,3.4,3.1,18562,0.17,278,3.9,0.06,0.27,6.8,4,22,2,3.5,4,1,3876
session-005,2024-03-15T11:20:43.218Z,baseline,mobile,dsl,2.9,312,3.2,3.1,2.8,21345,0.22,254,3.5,0.04,0.23,6.2,3,19,1,3.1,6,2,4532
session-006,2024-03-15T11:35:28.195Z,baseline,mobile,3g,2.5,385,2.8,2.7,2.4,25784,0.28,212,2.8,0.03,0.18,5.6,2,15,1,2.7,8,3,5684
session-007,2024-03-15T11:50:38.295Z,baseline,tablet,cable,3.4,242,3.7,3.6,3.3,17234,0.15,312,4.5,0.07,0.29,7.0,5,26,2,3.6,3,0,3652
session-008,2024-03-15T12:05:48.732Z,baseline,tablet,dsl,3.1,295,3.4,3.3,3.0,19856,0.19,285,4.0,0.05,0.25,6.6,4,23,1,3.3,5,1,4123
session-009,2024-03-15T12:20:37.195Z,baseline,tablet,3g,2.7,352,3.0,2.9,2.6,23467,0.25,235,3.2,0.04,0.20,6.0,3,18,1,2.9,7,2,5142
session-010,2024-03-15T12:35:26.843Z,baseline,desktop,cable,3.8,205,4.2,3.9,3.6,14975,0.11,365,5.4,0.09,0.33,7.5,6,34,3,4.0,1,0,3154
session-011,2024-03-15T12:50:15.376Z,baseline,desktop,dsl,3.6,225,4.0,3.8,3.4,16125,0.13,342,5.0,0.08,0.31,7.2,5,30,2,3.8,2,0,3423
session-012,2024-03-15T13:05:28.759Z,baseline,desktop,3g,3.2,275,3.5,3.4,3.0,19425,0.17,305,4.3,0.06,0.26,6.6,4,27,1,3.5,4,1,4125
session-013,2024-03-15T13:20:42.385Z,baseline,mobile,cable,3.3,255,3.6,3.5,3.2,18125,0.16,285,4.1,0.07,0.28,6.9,5,23,2,3.6,3,0,3754
session-014,2024-03-15T13:35:19.462Z,baseline,mobile,dsl,3.0,295,3.3,3.2,2.9,20875,0.21,262,3.7,0.05,0.24,6.3,3,20,1,3.2,5,1,4325
session-015,2024-03-15T13:50:28.573Z,baseline,mobile,3g,2.6,375,2.9,2.8,2.5,25125,0.27,225,3.0,0.03,0.19,5.7,2,16,1,2.8,7,2,5425
session-016,2024-03-15T14:05:37.954Z,baseline,tablet,cable,3.5,235,3.8,3.7,3.4,16875,0.14,325,4.7,0.08,0.30,7.1,5,28,2,3.7,2,0,3525
session-017,2024-03-15T14:20:45.362Z,baseline,tablet,dsl,3.2,285,3.5,3.4,3.1,19375,0.18,295,4.2,0.06,0.26,6.7,4,25,1,3.4,4,1,4025
session-018,2024-03-15T14:35:18.275Z,baseline,tablet,3g,2.8,345,3.1,3.0,2.7,22875,0.24,245,3.4,0.04,0.21,6.1,3,19,1,3.0,6,2,4925
session-019,2024-03-15T14:50:29.463Z,baseline,desktop,fiber,4.0,185,4.4,4.2,3.8,13625,0.09,395,5.8,0.10,0.35,7.8,7,37,4,4.2,0,0,2825
session-020,2024-03-15T15:05:37.285Z,baseline,mobile,fiber,3.6,215,4.0,3.8,3.4,16375,0.12,345,4.9,0.08,0.31,7.3,5,26,3,3.8,2,0,3225
session-021,2024-03-15T15:20:48.596Z,baseline,tablet,fiber,3.8,195,4.2,4.0,3.6,14875,0.10,375,5.4,0.09,0.33,7.6,6,32,3,4.0,1,0,3025
session-022,2024-03-15T15:35:26.374Z,baseline,desktop,cable,3.7,210,4.1,3.9,3.5,15125,0.12,355,5.3,0.08,0.32,7.4,6,33,3,3.9,2,0,3175
session-023,2024-03-15T15:50:38.285Z,baseline,desktop,dsl,3.5,230,3.9,3.7,3.3,16375,0.14,332,4.9,0.07,0.30,7.1,5,29,2,3.7,3,0,3475
session-024,2024-03-15T16:05:47.594Z,baseline,desktop,3g,3.1,280,3.4,3.3,2.9,19625,0.18,300,4.2,0.05,0.25,6.5,4,26,1,3.4,5,1,4175
session-025,2024-03-15T16:20:15.287Z,optimized,desktop,cable,4.5,102,4.7,4.6,4.4,7825,0.05,385,6.2,0.14,0.42,8.7,8,38,5,4.6,1,0,1625
session-026,2024-03-15T16:35:28.473Z,optimized,desktop,dsl,4.3,115,4.5,4.4,4.2,8625,0.06,372,5.9,0.12,0.40,8.5,8,36,4,4.4,1,0,1825
session-027,2024-03-15T16:50:37.392Z,optimized,desktop,3g,3.9,142,4.1,4.0,3.8,10625,0.09,340,5.3,0.09,0.35,8.0,7,32,3,4.0,2,0,2325
session-028,2024-03-15T17:05:48.573Z,optimized,mobile,cable,4.1,125,4.3,4.2,4.0,9375,0.08,355,5.6,0.11,0.38,8.3,7,34,4,4.2,1,0,2075
session-029,2024-03-15T17:20:19.485Z,optimized,mobile,dsl,3.8,152,4.0,3.9,3.7,11125,0.10,335,5.1,0.09,0.34,7.8,6,30,3,3.9,2,0,2375
session-030,2024-03-15T17:35:29.276Z,optimized,mobile,3g,3.4,188,3.6,3.5,3.3,13625,0.14,305,4.5,0.07,0.30,7.3,5,26,2,3.5,3,0,2875
session-031,2024-03-15T17:50:38.394Z,optimized,tablet,cable,4.3,112,4.5,4.4,4.2,8875,0.07,365,5.7,0.12,0.39,8.4,7,35,4,4.3,1,0,1925
session-032,2024-03-15T18:05:47.285Z,optimized,tablet,dsl,4.0,145,4.2,4.1,3.9,10375,0.09,345,5.4,0.10,0.36,8.1,7,33,3,4.1,2,0,2175
session-033,2024-03-15T18:20:15.593Z,optimized,tablet,3g,3.6,175,3.8,3.7,3.5,12625,0.12,320,4.8,0.08,0.32,7.5,6,29,2,3.7,2,0,2625
session-034,2024-03-16T09:12:32.485Z,optimized,desktop,fiber,4.7,88,4.9,4.8,4.6,6875,0.04,405,6.5,0.15,0.44,9.0,9,40,6,4.8,0,0,1375
session-035,2024-03-16T09:28:15.726Z,optimized,mobile,fiber,4.4,105,4.6,4.5,4.3,8375,0.06,375,5.8,0.13,0.41,8.6,8,35,5,4.5,1,0,1675
session-036,2024-03-16T09:45:38.192Z,optimized,tablet,fiber,4.6,95,4.8,4.7,4.5,7625,0.05,395,6.3,0.14,0.43,8.8,8,38,5,4.7,0,0,1525
session-037,2024-03-16T10:12:25.483Z,optimized,desktop,cable,4.5,105,4.7,4.6,4.4,7925,0.05,382,6.1,0.14,0.42,8.7,8,37,5,4.6,1,0,1675
session-038,2024-03-16T10:34:18.375Z,optimized,desktop,dsl,4.3,118,4.5,4.4,4.2,8725,0.06,370,5.8,0.12,0.40,8.5,8,35,4,4.4,1,0,1875
session-039,2024-03-16T10:58:42.914Z,optimized,desktop,3g,3.9,145,4.1,4.0,3.8,10725,0.09,338,5.2,0.09,0.35,8.0,7,31,3,4.0,2,0,2375
session-040,2024-03-16T11:23:15.629Z,optimized,mobile,cable,4.1,128,4.3,4.2,4.0,9475,0.08,352,5.5,0.11,0.38,8.3,7,33,4,4.2,1,0,2125
session-041,2024-03-16T11:45:32.847Z,optimized,mobile,dsl,3.8,155,4.0,3.9,3.7,11225,0.10,332,5.0,0.09,0.34,7.8,6,29,3,3.9,2,0,2425
session-042,2024-03-16T12:08:47.253Z,optimized,mobile,3g,3.4,192,3.6,3.5,3.3,13725,0.14,302,4.4,0.07,0.30,7.3,5,25,2,3.5,3,0,2925
session-043,2024-03-16T14:15:28.376Z,optimized,tablet,cable,4.3,115,4.5,4.4,4.2,8975,0.07,362,5.6,0.12,0.39,8.4,7,34,4,4.3,1,0,1975
session-044,2024-03-16T14:38:52.193Z,optimized,tablet,dsl,4.0,148,4.2,4.1,3.9,10475,0.09,342,5.3,0.10,0.36,8.1,7,32,3,4.1,2,0,2225
session-045,2024-03-16T15:02:47.384Z,optimized,tablet,3g,3.6,178,3.8,3.7,3.5,12725,0.12,318,4.7,0.08,0.32,7.5,6,28,2,3.7,2,0,2675
session-046,2024-03-17T09:15:27.384Z,baseline,desktop,cable,3.7,212,4.1,3.8,3.5,15225,0.12,352,5.2,0.08,0.32,7.4,6,32,3,3.9,2,0,3195
session-047,2024-03-17T09:42:15.285Z,baseline,desktop,dsl,3.5,228,3.9,3.7,3.3,16425,0.14,328,4.8,0.07,0.30,7.1,5,28,2,3.7,3,0,3525
session-048,2024-03-17T10:12:38.476Z,baseline,desktop,3g,3.1,282,3.4,3.3,2.9,19725,0.18,298,4.1,0.05,0.25,6.5,4,25,1,3.4,5,1,4195
session-049,2024-03-17T10:38:52.374Z,baseline,mobile,cable,3.2,265,3.5,3.4,3.1,18425,0.17,275,3.9,0.06,0.27,6.8,4,22,2,3.5,4,1,3825
session-050,2024-03-17T11:05:48.293Z,baseline,mobile,dsl,2.9,308,3.2,3.1,2.8,21225,0.22,252,3.5,0.04,0.23,6.2,3,19,1,3.1,6,2,4525
session-051,2024-03-17T11:32:19.583Z,baseline,mobile,3g,2.5,378,2.8,2.7,2.4,25625,0.28,215,2.8,0.03,0.18,5.6,2,15,1,2.7,8,3,5625
session-052,2024-03-17T11:58:42.394Z,baseline,tablet,cable,3.4,245,3.7,3.6,3.3,17325,0.15,315,4.5,0.07,0.29,7.0,5,26,2,3.6,3,0,3625
session-053,2024-03-17T12:24:15.284Z,baseline,tablet,dsl,3.1,292,3.4,3.3,3.0,19725,0.19,288,4.0,0.05,0.25,6.6,4,23,1,3.3,5,1,4125
session-054,2024-03-17T12:48:37.194Z,baseline,tablet,3g,2.7,348,3.0,2.9,2.6,23325,0.25,238,3.2,0.04,0.20,6.0,3,18,1,2.9,7,2,5125
session-055,2024-03-18T09:18:42.583Z,optimized,desktop,cable,4.5,104,4.7,4.6,4.4,7875,0.05,382,6.1,0.14,0.42,8.7,8,37,5,4.6,1,0,1675
session-056,2024-03-18T09:42:18.475Z,optimized,desktop,dsl,4.3,118,4.5,4.4,4.2,8675,0.06,370,5.8,0.12,0.40,8.5,8,35,4,4.4,1,0,1875
session-057,2024-03-18T10:15:37.293Z,optimized,desktop,3g,3.9,145,4.1,4.0,3.8,10675,0.09,335,5.2,0.09,0.35,8.0,7,31,3,4.0,2,0,2375
session-058,2024-03-18T10:42:18.485Z,optimized,mobile,cable,4.1,128,4.3,4.2,4.0,9425,0.08,350,5.5,0.11,0.38,8.3,7,33,4,4.2,1,0,2125
session-059,2024-03-18T11:08:42.394Z,optimized,mobile,dsl,3.8,154,4.0,3.9,3.7,11175,0.10,330,5.0,0.09,0.34,7.8,6,29,3,3.9,2,0,2425
session-060,2024-03-18T11:35:27.583Z,optimized,mobile,3g,3.4,190,3.6,3.5,3.3,13675,0.14,300,4.4,0.07,0.30,7.3,5,25,2,3.5,3,0,2925
session-061,2024-03-18T12:08:42.384Z,optimized,tablet,cable,4.3,114,4.5,4.4,4.2,8925,0.07,360,5.6,0.12,0.39,8.4,7,34,4,4.3,1,0,1975
session-062,2024-03-18T12:32:19.485Z,optimized,tablet,dsl,4.0,146,4.2,4.1,3.9,10425,0.09,340,5.3,0.10,0.36,8.1,7,32,3,4.1,2,0,2225
session-063,2024-03-18T12:58:47.294Z,optimized,tablet,3g,3.6,176,3.8,3.7,3.5,12675,0.12,315,4.7,0.08,0.32,7.5,6,28,2,3.7,2,0,2675
session-064,2024-03-19T09:12:38.493Z,optimized,desktop,fiber,4.7,90,4.9,4.8,4.6,6925,0.04,402,6.4,0.15,0.44,9.0,9,39,6,4.8,0,0,1425
session-065,2024-03-19T09:38:47.284Z,optimized,mobile,fiber,4.4,108,4.6,4.5,4.3,8425,0.06,372,5.7,0.13,0.41,8.6,8,34,5,4.5,1,0,1725
session-066,2024-03-19T10:05:32.394Z,optimized,tablet,fiber,4.6,98,4.8,4.7,4.5,7675,0.05,392,6.2,0.14,0.43,8.8,8,37,5,4.7,0,0,1575
session-067,2024-03-19T10:32:47.593Z,optimized,desktop,cable,4.5,106,4.7,4.6,4.4,7975,0.05,380,6.0,0.14,0.42,8.7,8,36,5,4.6,1,0,1725
session-068,2024-03-19T10:58:15.374Z,optimized,desktop,dsl,4.3,120,4.5,4.4,4.2,8775,0.06,368,5.7,0.12,0.40,8.5,8,34,4,4.4,1,0,1925
session-069,2024-03-19T11:24:38.485Z,optimized,desktop,3g,3.9,148,4.1,4.0,3.8,10775,0.09,336,5.1,0.09,0.35,8.0,7,30,3,4.0,2,0,2425
session-070,2024-03-20T09:15:32.485Z,optimized,desktop,cable,4.5,102,4.7,4.6,4.4,7825,0.05,385,6.2,0.14,0.42,8.7,8,38,5,4.6,1,0,1625
session-071,2024-03-20T09:42:18.393Z,optimized,desktop,dsl,4.3,115,4.5,4.4,4.2,8625,0.06,372,5.9,0.12,0.40,8.5,8,36,4,4.4,1,0,1825
session-072,2024-03-20T10:08:47.284Z,optimized,desktop,3g,3.9,142,4.1,4.0,3.8,10625,0.09,340,5.3,0.09,0.35,8.0,7,32,3,4.0,2,0,2325
session-073,2024-03-20T10:35:38.594Z,optimized,mobile,cable,4.1,125,4.3,4.2,4.0,9375,0.08,355,5.6,0.11,0.38,8.3,7,34,4,4.2,1,0,2075
session-074,2024-03-20T11:02:15.384Z,optimized,mobile,dsl,3.8,152,4.0,3.9,3.7,11125,0.10,335,5.1,0.09,0.34,7.8,6,30,3,3.9,2,0,2375
session-075,2024-03-20T11:28:42.593Z,optimized,mobile,3g,3.4,188,3.6,3.5,3.3,13625,0.14,305,4.5,0.07,0.30,7.3,5,26,2,3.5,3,0,2875
session-076,2024-03-20T11:55:18.275Z,optimized,tablet,cable,4.3,112,4.5,4.4,4.2,8875,0.07,365,5.7,0.12,0.39,8.4,7,35,4,4.3,1,0,1925
session-077,2024-03-20T12:22:47.394Z,optimized,tablet,dsl,4.0,145,4.2,4.1,3.9,10375,0.09,345,5.4,0.10,0.36,8.1,7,33,3,4.1,2,0,2175
session-078,2024-03-20T12:48:38.485Z,optimized,tablet,3g,3.6,175,3.8,3.7,3.5,12625,0.12,320,4.8,0.08,0.32,7.5,6,29,2,3.7,2,0,2625
session-079,2024-03-21T09:18:42.294Z,baseline,desktop,cable,3.7,208,4.1,3.8,3.5,15175,0.12,350,5.1,0.08,0.32,7.4,6,31,3,3.9,2,0,3175
session-080,2024-03-21T09:45:27.573Z,baseline,desktop,dsl,3.5,225,3.9,3.7,3.3,16375,0.14,325,4.7,0.07,0.30,7.1,5,27,2,3.7,3,0,3475
session-081,2024-03-21T10:12:15.384Z,baseline,desktop,3g,3.1,275,3.4,3.3,2.9,19575,0.18,295,4.0,0.05,0.25,6.5,4,24,1,3.4,5,1,4175
session-082,2024-03-21T10:38:47.493Z,baseline,mobile,cable,3.2,262,3.5,3.4,3.1,18375,0.17,272,3.8,0.06,0.27,6.8,4,21,2,3.5,4,1,3775
session-083,2024-03-21T11:05:32.274Z,baseline,mobile,dsl,2.9,302,3.2,3.1,2.8,21175,0.22,250,3.4,0.04,0.23,6.2,3,18,1,3.1,6,2,4475
session-084,2024-03-21T11:32:18.593Z,baseline,mobile,3g,2.5,372,2.8,2.7,2.4,25525,0.28,210,2.7,0.03,0.18,5.6,2,14,1,2.7,8,3,5575
session-085,2024-03-21T11:58:42.384Z,baseline,tablet,cable,3.4,238,3.7,3.6,3.3,17275,0.15,310,4.4,0.07,0.29,7.0,5,25,2,3.6,3,0,3575
session-086,2024-03-21T12:25:15.485Z,baseline,tablet,dsl,3.1,288,3.4,3.3,3.0,19675,0.19,282,3.9,0.05,0.25,6.6,4,22,1,3.3,5,1,4075
session-087,2024-03-21T12:52:38.294Z,baseline,tablet,3g,2.7,342,3.0,2.9,2.6,23275,0.25,232,3.1,0.04,0.20,6.0,3,17,1,2.9,7,2,5075
session-088,2024-03-22T09:15:32.485Z,optimized,desktop,cable,4.5,100,4.7,4.6,4.4,7775,0.05,380,6.0,0.14,0.42,8.7,8,36,5,4.6,1,0,1625
session-089,2024-03-22T09:42:18.393Z,optimized,mobile,cable,4.1,122,4.3,4.2,4.0,9325,0.08,352,5.5,0.11,0.38,8.3,7,33,4,4.2,1,0,2025
session-090,2024-03-22T10:08:47.284Z,optimized,tablet,cable,4.3,110,4.5,4.4,4.2,8825,0.07,362,5.6,0.12,0.39,8.4,7,34,4,4.3,1,0,1925